Batman	#1b1d1e	#6f6f6f	#1b1d1e,#e6dc44,#c8be46,#f4fd22,#737174,#747271,#62605f,#c6c5bf,#505354,#fff78e,#fff27d,#feed6c,#919495,#9a9a9d,#a3a3a6,#dadbd6
Belafonte Day	#d5ccba	#45373c	#20111b,#be100e,#858162,#eaa549,#426a79,#97522c,#989a9c,#968c83,#5e5252,#be100e,#858162,#eaa549,#426a79,#97522c,#989a9c,#d5ccba
Belafonte Night	#20111b	#968c83	#20111b,#be100e,#858162,#eaa549,#426a79,#97522c,#989a9c,#968c83,#5e5252,#be100e,#858162,#eaa549,#426a79,#97522c,#989a9c,#d5ccba
Birds Of Paradise	#2a1f1d	#e0dbb7	#573d26,#be2d26,#6ba18a,#e99d2a,#5a86ad,#ac80a6,#74a6ad,#e0dbb7,#9b6c4a,#e84627,#95d8ba,#d0d150,#b8d3ed,#d19ecb,#93cfd7,#fff9d5
Black Metal	#000000	#c1c1c1	#000000,#486e6f,#dd9999,#a06666,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#486e6f,#dd9999,#a06666,#888888,#999999,#aaaaaa,#c1c1c1
Black Metal (Bathory)	#000000	#c1c1c1	#000000,#5f8787,#fbcb97,#e78a53,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#fbcb97,#e78a53,#888888,#999999,#aaaaaa,#c1c1c1
Black Metal (Burzum)	#000000	#c1c1c1	#000000,#5f8787,#ddeecc,#99bbaa,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#ddeecc,#99bbaa,#888888,#999999,#aaaaaa,#c1c1c1
Black Metal (Dark Funeral)	#000000	#c1c1c1	#000000,#5f8787,#d0dfee,#5f81a5,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#d0dfee,#5f81a5,#888888,#999999,#aaaaaa,#c1c1c1
Black Metal (Gorgoroth)	#000000	#c1c1c1	#000000,#5f8787,#9b8d7f,#8c7f70,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#9b8d7f,#8c7f70,#888888,#999999,#aaaaaa,#c1c1c1
Black Metal (Immortal)	#000000	#c1c1c1	#000000,#5f8787,#7799bb,#556677,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#7799bb,#556677,#888888,#999999,#aaaaaa,#c1c1c1
Black Metal (Khold)	#000000	#c1c1c1	#000000,#5f8787,#eceee3,#974b46,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#eceee3,#974b46,#888888,#999999,#aaaaaa,#c1c1c1
Black Metal (Marduk)	#000000	#c1c1c1	#000000,#5f8787,#a5aaa7,#626b67,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#a5aaa7,#626b67,#888888,#999999,#aaaaaa,#c1c1c1
Black Metal (Mayhem)	#000000	#c1c1c1	#000000,#5f8787,#f3ecd4,#eecc6c,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#f3ecd4,#eecc6c,#888888,#999999,#aaaaaa,#c1c1c1
Black Metal (Nile)	#000000	#c1c1c1	#000000,#5f8787,#aa9988,#777755,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#aa9988,#777755,#888888,#999999,#aaaaaa,#c1c1c1
